Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974810;L;Heat;0;1;1;2;100;117;D;37;80;9;26;17;18;34;4;28;19;6;2;9;12;9;44;25;0;0;42;76;10;17;23;30;51;8;36;18;6;3;13;17;1;44;20;0;0
400974811;Vis;Pacers;0;2;1;1;96;114;D;28;83;10;29;30;35;52;14;27;13;13;2;19;12;7;28;23;1;0;43;89;10;27;18;26;62;16;33;26;8;8;20;25;14;54;27;0;0
400974811;L;Thunder;1;1;0;2;114;96;V;43;89;10;27;18;26;62;16;33;26;8;8;20;25;14;54;27;0;0;28;83;10;29;30;35;52;14;27;13;13;2;19;12;7;28;23;1;0
400974812;Vis;Grizzlies;1;0;1;0;94;103;D;33;72;12;31;16;24;48;6;30;14;7;2;18;22;20;28;22;1;0;36;74;11;26;20;29;46;4;31;20;6;4;11;11;7;36;20;1;0
400974812;L;Mavericks;1;0;1;0;103;94;V;36;74;11;26;20;29;46;4;31;20;6;4;11;11;7;36;20;1;0;33;72;12;31;16;24;48;6;30;14;7;2;18;22;20;28;22;1;0
400974813;Vis;Jazz;1;1;1;0;88;97;D;32;77;6;25;18;25;49;7;37;20;8;10;24;27;14;32;19;0;0;42;96;6;19;7;9;59;16;39;18;8;5;16;18;8;46;25;1;0
400974813;L;Suns;1;0;1;1;97;88;V;42;96;6;19;7;9;59;16;39;18;8;5;16;18;8;46;25;1;0;32;77;6;25;18;25;49;7;37;20;8;10;24;27;14;32;19;0;0
400974814;Vis;Raptors;0;2;1;2;112;117;D;43;94;8;34;18;19;48;17;25;30;10;6;18;17;15;54;16;0;0;43;77;12;26;19;22;41;6;31;32;10;7;17;17;33;48;15;0;0
400974814;L;Warriors;1;2;0;2;117;112;V;43;77;12;26;19;22;41;6;31;32;10;7;17;17;33;48;15;0;0;43;94;8;34;18;19;48;17;25;30;10;6;18;17;15;54;16;0;0
400974815;Vis;Wizards;0;2;1;0;99;102;V;39;95;6;26;15;23;56;7;38;20;11;5;15;16;16;48;19;1;0;41;92;7;30;13;16;62;6;47;27;9;5;22;29;17;54;26;0;0
400974815;L;Lakers;1;0;0;2;102;99;D;41;92;7;30;13;16;62;6;47;27;9;5;22;29;17;54;26;0;0;39;95;6;26;15;23;56;7;38;20;11;5;15;16;16;48;19;1;0
400974816;Vis;Hawks;0;0;0;0;86;91;V;32;81;11;28;11;13;44;7;33;22;10;5;10;8;9;20;23;1;0;31;86;7;32;22;29;69;18;44;20;5;4;16;13;7;46;15;0;0
400974816;L;Bulls;0;0;0;0;91;86;D;31;86;7;32;22;29;69;18;44;20;5;4;16;13;7;46;15;0;0;32;81;11;28;11;13;44;7;33;22;10;5;10;8;9;20;23;1;0
400974817;Vis;Mavericks;1;0;1;0;91;96;V;32;94;10;34;17;20;61;18;35;20;10;3;14;14;6;28;22;3;0;30;73;10;34;26;30;51;9;37;18;7;6;18;10;4;32;23;0;0
400974817;L;Grizzlies;1;0;1;0;96;91;D;30;73;10;34;26;30;51;9;37;18;7;6;18;10;4;32;23;0;0;32;94;10;34;17;20;61;18;35;20;10;3;14;14;6;28;22;3;0
400974818;Vis;Celtics;0;2;0;2;96;89;V;33;78;11;30;19;22;52;6;39;21;7;4;16;11;13;28;14;1;0;35;77;11;25;8;14;44;2;35;22;6;3;18;17;15;38;20;1;1
400974818;L;Bucks;0;2;0;2;89;96;D;35;77;11;25;8;14;44;2;35;22;6;3;18;17;15;38;20;1;1;33;78;11;30;19;22;52;6;39;21;7;4;16;11;13;28;14;1;0
400974819;Vis;Clippers;1;1;1;1;104;103;D;36;77;9;28;23;36;57;14;32;11;4;5;12;20;4;44;19;0;0;35;89;14;31;19;22;54;16;28;19;5;4;10;14;2;30;26;0;0
400974819;L;Trail Blazers;1;1;1;1;103;104;V;35;89;14;31;19;22;54;16;28;19;5;4;10;14;2;30;26;0;0;36;77;9;28;23;36;57;14;32;11;4;5;12;20;4;44;19;0;0
400974820;Vis;Pelicans;1;1;1;0;114;106;V;42;86;13;32;17;23;55;10;37;22;5;3;15;16;8;52;24;2;0;38;81;7;20;23;25;40;5;29;25;7;5;13;7;11;44;17;4;0
400974820;L;Kings;1;0;1;1;106;114;D;38;81;7;20;23;25;40;5;29;25;7;5;13;7;11;44;17;4;0;42;86;13;32;17;23;55;10;37;22;5;3;15;16;8;52;24;2;0
400974821;Vis;Rockets;1;2;0;1;109;93;V;38;85;22;57;11;13;58;7;44;21;5;6;16;14;5;30;26;1;0;33;88;11;29;16;28;58;11;33;16;6;5;9;13;13;34;14;0;0
400974821;L;Hornets;0;1;1;2;93;109;D;33;88;11;29;16;28;58;11;33;16;6;5;9;13;13;34;14;0;0;38;85;22;57;11;13;58;7;44;21;5;6;16;14;5;30;26;1;0
400974822;Vis;Spurs;1;2;0;0;87;114;V;30;89;4;24;23;27;55;17;32;19;8;8;18;29;6;46;15;0;0;48;84;11;23;7;14;51;6;39;22;9;7;19;13;12;56;24;1;0
400974822;L;Magic;0;0;1;2;114;87;D;48;84;11;23;7;14;51;6;39;22;9;7;19;13;12;56;24;1;0;30;89;4;24;23;27;55;17;32;19;8;8;18;29;6;46;15;0;0
400974823;Vis;Nuggets;1;1;0;0;105;100;V;42;91;4;20;17;23;62;11;35;25;8;4;12;18;7;60;12;0;0;37;89;14;33;12;12;45;11;32;23;7;4;12;14;2;30;21;0;0
400974823;L;Hawks;0;0;1;1;100;105;D;37;89;14;33;12;12;45;11;32;23;7;4;12;14;2;30;21;0;0;42;91;4;20;17;23;62;11;35;25;8;4;12;18;7;60;12;0;0
400974824;Vis;Nets;0;0;0;0;86;107;V;30;75;11;30;15;21;44;5;30;18;5;1;16;14;2;26;20;1;0;44;98;9;27;10;17;68;19;36;19;7;6;12;9;4;50;19;1;0
400974824;L;Knicks;0;0;0;0;107;86;D;44;98;9;27;10;17;68;19;36;19;7;6;12;9;4;50;19;1;0;30;75;11;30;15;21;44;5;30;18;5;1;16;14;2;26;20;1;0
400974825;Vis;Thunder;1;1;1;2;116;119;D;43;86;8;28;22;25;43;11;24;19;8;9;14;15;15;46;29;0;0;42;86;8;22;27;35;55;17;27;23;5;7;16;18;7;52;21;0;0
400974825;L;Timberwolves;1;2;1;1;119;116;V;42;86;8;22;27;35;55;17;27;23;5;7;16;18;7;52;21;0;0;43;86;8;28;22;25;43;11;24;19;8;9;14;15;15;46;29;0;0
400974826;Vis;Wizards;0;2;1;2;117;120;V;43;97;15;33;16;22;52;12;29;30;7;6;15;17;17;38;21;1;0;46;95;10;38;18;20;59;15;38;33;7;13;18;18;22;52;20;3;0
400974826;L;Warriors;1;2;0;2;120;117;D;46;95;10;38;18;20;59;15;38;33;7;13;18;18;22;52;20;3;0;43;97;15;33;16;22;52;12;29;30;7;6;15;17;17;38;21;1;0
400974827;Vis;Raptors;0;2;1;0;101;92;V;40;93;7;29;14;20;51;9;31;27;12;4;14;16;12;52;24;0;0;36;79;3;23;17;24;58;9;40;20;7;6;21;24;22;56;22;0;0
400974827;L;Lakers;1;0;0;2;92;101;D;36;79;3;23;17;24;58;9;40;20;7;6;21;24;22;56;22;0;0;40;93;7;29;14;20;51;9;31;27;12;4;14;16;12;52;24;0;0
400974828;Vis;Cavaliers;0;2;1;1;101;123;D;36;78;12;32;17;23;43;5;32;19;8;2;18;27;6;38;19;1;0;49;95;13;33;12;16;55;10;37;33;10;4;11;11;11;70;20;1;0
400974828;L;Pelicans;1;1;0;2;123;101;V;49;95;13;33;12;16;55;10;37;33;10;4;11;11;11;70;20;1;0;36;78;12;32;17;23;43;5;32;19;8;2;18;27;6;38;19;1;0
